0,悪魔,レア,Grade,種族,タイプ,img
1,萊拉,3,43,大天使,攻撃,https://i.imgur.com/O9L4YPY.jpg
2,聖達芬,4,61,大天使,攻撃,https://i.imgur.com/yQDqIbz.jpg
3,阿斯萊爾,4,67,大天使,サポート,https://i.imgur.com/bzC5uvY.jpg
4,米迦勒,5,90,大天使,攻撃,https://i.imgur.com/bS7AxmN.jpg
5,梅塔特隆,5,99,大天使,攻撃,https://i.imgur.com/pBxXPDU.jpg
6,哈索爾,2,27,女神,回復,https://i.imgur.com/T2yHWwa.jpg
7,阿麗安蘿德,3,44,女神,攻撃,https://i.imgur.com/rYkMgPW.jpg
8,斯卡哈,3,50,女神,攻撃,https://i.imgur.com/O9L4YPY.jpg
9,帕拉斯雅典娜,4,62,女神,攻撃,https://i.imgur.com/Zt8o9pl.jpg
10,妙音天女,4,69,女神,サポート,https://i.imgur.com/Ce6lqc9.jpg
11,伊絲塔,5,82,女神,回復,https://i.imgur.com/tTJOSyd.jpg
12,吉祥天,5,85,女神,サポート,https://i.imgur.com/bCM7Rzq.jpg
13,天使,2,20,天使,回復,https://i.imgur.com/qLdhgmZ.jpg
14,大天使,2,25,天使,攻撃,https://i.imgur.com/o9efDIf.jpg
15,權天使,2,35,天使,回復,https://i.imgur.com/o8xLkOt.jpg
16,能天使,3,40,天使,攻撃,https://i.imgur.com/HHITHqz.jpg
17,力天使,3,47,天使,回復,https://i.imgur.com/lFMJWDH.jpg
18,主天使,3,53,天使,回復,https://i.imgur.com/FAd5TlY.jpg
19,座天使,4,60,天使,攻撃,https://i.imgur.com/O3ceju8.jpg
20,鞍馬天狗,2,27,幻魔,攻撃,https://i.imgur.com/k1YMzL6.jpg
21,塔姆林,3,40,幻魔,攻撃,https://i.imgur.com/xZEqtHm.jpg
22,克雷斯尼克,3,49,幻魔,攻撃,https://i.imgur.com/q66yNrd.jpg
23,哈奴曼,4,60,幻魔,攻撃,https://i.imgur.com/Pxku6oP.jpg
24,月讀,4,67,幻魔,サポート,https://i.imgur.com/rEI0IgP.jpg
25,庫夫林,5,81,幻魔,攻撃,https://i.imgur.com/MPVyhSj.jpg
26,軟泥怪,1,1,外道,攻撃,https://i.imgur.com/cTycMrF.jpg
27,鬼魅,1,10,外道,攻撃,https://i.imgur.com/GTrWWUA.jpg
28,果凍怪,2,20,外道,サポート,https://i.imgur.com/gF0ZSHt.jpg
29,黑泥怪,2,25,外道,サポート,https://i.imgur.com/iAowSSa.jpg
30,黑影,2,35,外道,サポート,https://i.imgur.com/SEYIQQ0.jpg
31,毒氣怪客,3,45,外道,サポート,https://i.imgur.com/jxj0XXb.jpg
32,佩蕾,3,40,地母神,回復,https://i.imgur.com/ZZNnU5e.jpg
33,奇稻田姬,3,47,地母神,回復,https://i.imgur.com/bsBXiJL.jpg
34,伊西絲,3,54,地母神,サポート,https://i.imgur.com/UvpDAYQ.jpg
35,菊理媛,4,60,地母神,回復,https://i.imgur.com/ENXFmUW.jpg
36,絲卡蒂,4,67,地母神,サポート,https://i.imgur.com/HMA9gKN.jpg
37,亞舍拉,5,83,地母神,回復,https://i.imgur.com/pDGt7B2.jpg
38,安曇神,1,3,妖鬼,回復,https://i.imgur.com/NMEkrbE.jpg
39,桃生,1,15,妖鬼,攻撃,https://i.imgur.com/Mf5UCXj.jpg
40,鬼,2,27,妖鬼,攻撃,https://i.imgur.com/jb7d1jZ.jpg
41,黃泉軍,3,41,妖鬼,攻撃,https://i.imgur.com/v9x9Dn3.jpg
42,式王子,3,49,妖鬼,攻撃,https://i.imgur.com/JSwpUAA.jpg
43,狂戰士,3,54,妖鬼,攻撃,https://i.imgur.com/8wecOih.jpg
44,隱形鬼,4,68,妖鬼,攻撃,https://i.imgur.com/bnlCLMO.jpg
45,皮克希,1,2,妖精,回復,https://i.imgur.com/GZT2HdZ.jpg
46,冰霜傑克,1,7,妖精,攻撃,https://i.imgur.com/psO19Zk.jpg
47,燈籠傑克,1,13,妖精,攻撃,https://i.imgur.com/OIiF01U.jpg
48,高等皮克希,2,24,妖精,回復,https://i.imgur.com/GTxhkmW.jpg
49,凱爾皮,2,35,妖精,回復,https://i.imgur.com/OHnrUxV.jpg
50,希路奇,3,42,妖精,サポート,https://i.imgur.com/TPfEs86.jpg
51,瑟坦特,3,47,妖精,攻撃,https://i.imgur.com/XKzfHVN.jpg
52,提泰妮婭,4,62,妖精,サポート,https://i.imgur.com/vMVAF6A.jpg
53,奧伯隆,4,67,妖精,攻撃,https://i.imgur.com/srC8w3g.jpg
54,阿珈席翁,1,5,妖魔,攻撃,https://i.imgur.com/TJcFzTw.jpg
55,木葉天狗,1,7,妖魔,攻撃,https://i.imgur.com/T4Kmi2Q.jpg
56,飛天女神,1,11,妖魔,回復,https://i.imgur.com/i32lmkT.jpg
57,迪斯,2,34,妖魔,回復,https://i.imgur.com/iQhCSb2.jpg
58,女武神,3,40,妖魔,攻撃,https://i.imgur.com/v9yNGZ9.jpg
59,伊弗利特,3,52,妖魔,攻撃,https://i.imgur.com/UZjkoRY.jpg
